Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Car Age,Mileage Per Year,Log Price,Transmission Encoded,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Gasoline,Fuel Type_Hybrid,Body Type_Coupe,Body Type_Crossover,Body Type_Hard Top Convertible,Body Type_Hatchback,Body Type_Other,Body Type_Pick Up Truck,Body Type_SUV,Body Type_Sedan,Body Type_Soft Top Convertible,Body Type_Sports Car,Body Type_Utility Truck,Body Type_Van,Body Type_Wagon,Make Encoded,Model Encoded,Color Encoded,Year zscore scaled,Mileage zscore scaled,Price zscore scaled,Cylinders zscore scaled,Car Age zscore scaled,Mileage Per Year zscore scaled
toyota,camry,2016,47819.0,156500,Sedan,4,Automatic Transmission,Gasoline,Black,9,17388.88888888889,10.775199241012317,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,111815.73908174693,59573.661538461536,295369.32502351835,0.26374009519045427,0.01599146132380618,-0.41918232536195693,-1.1557246904277823,-0.2637400951904555,-0.25293109680815723
kia,sorento,2013,61250.0,169543,SUV,4,Automatic Transmission,Gasoline,Grey,12,14128.583333333334,11.022735454804309,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44691.06956521739,39255.11111111111,259363.79265493498,-0.25434547681803593,0.17186338335579834,-0.3906636042552629,-1.1557246904277823,0.2543454768180347,-0.3319793978757479
mini,cooper,2023,31861.0,221583,Soft Top Convertible,4,Automatic Transmission,Gasoline,Grey,2,110791.5,10.36916935613284,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75449.91666666667,72200.62790697675,259363.79265493498,1.4726064298769315,0.7937735897918079,-0.45306675328397483,-1.1557246904277823,-1.4726064298769326,2.0116780319371634
nissan,altima,2016,110322.0,69754,Sedan,4,Automatic Transmission,Gasoline,Red,9,7750.444444444444,11.611167705716008,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95783.9718918919,46364.504504504504,276426.75433070865,0.26374009519045427,-1.0206769239086704,-0.2864665465419365,-1.1557246904277823,-0.2637400951904555,-0.4866216651567004
toyota,land-cruiser-76-series,2020,139994.0,71399,Pick Up Truck,4,Manual Transmission,Gasoline,White,5,14279.8,11.849361986667956,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111815.73908174693,137098.8,190510.7618479881,0.9545208578684412,-1.0010181558535736,-0.22346248931032128,-1.1557246904277823,-0.9545208578684424,-0.3283130480844728
chevrolet,silverado,2010,43194.0,233934,Pick Up Truck,8,Automatic Transmission,Gasoline,Brown,15,15595.6,10.673480026792985,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91526.95709570957,105152.6,88297.27234042554,-0.7724310488265261,0.9413756835598931,-0.4290028216108185,0.9295740428083263,0.7724310488265249,-0.296410592080771
chevrolet,camaro,2024,94100.0,147140,Coupe,8,Automatic Transmission,Gasoline,Silver,1,147140.0,11.452123952509567,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91526.95709570957,93023.22916666667,148198.60392609698,1.6453016205464281,-0.09586633137875049,-0.32091153900659214,0.9295740428083263,-1.6453016205464293,2.8929718623449423
cadillac,srx,2024,30047.0,51876,SUV,6,Automatic Transmission,Gasoline,Gold,1,51876.0,10.31055138200799,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212005.60544217686,38833.0,185866.51260504202,1.6453016205464281,-1.234330088218105,-0.45691851116406884,-0.11307532380972793,-1.6453016205464293,0.5832321080231229
mercedes-benz,g-class,2009,603574.0,32956,SUV,8,Automatic Transmission,Gasoline,Black,16,2059.75,13.310625586860356,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,900353.9221789883,295369.32502351835,-0.9451262394960228,-1.460435797398914,0.7608803541593533,0.9295740428083263,0.9451262394960216,-0.624596379508729
infiniti,q50,2013,49531.0,11954,Sedan,4,Automatic Transmission,Gasoline,White,12,996.1666666666666,10.81037420433499,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76717.30612244898,74740.64705882352,190510.7618479881,-0.25434547681803593,-1.711422695084715,-0.4155471492369729,-1.1557246904277823,0.2543454768180347,-0.650383672788815
toyota,land-cruiser,2008,470284.0,143940,SUV,6,Automatic Transmission,Diesel,White,17,8467.058823529413,13.061094172889096,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111815.73908174693,215644.51442307694,190510.7618479881,-1.1178214301655196,-0.13410831178988097,0.47785896064351363,-0.11307532380972793,1.1178214301655183,-0.4692468675427939
mercedes-benz,amg-gt-4-doors,2019,479068.0,291481,Sedan,6,Automatic Transmission,Gasoline,Black,6,48580.166666666664,13.079599916123216,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372082.4993270525,489277.1666666667,295369.32502351835,0.7818256671989444,1.6290979481596823,0.49651047178945956,-0.11307532380972793,-0.7818256671989456,0.5033224120874178
mazda,6,2008,38078.0,269628,Sedan,4,Automatic Transmission,Gasoline,Silver,17,15860.470588235294,10.547418228056287,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51978.819444444445,41034.692307692305,148198.60392609698,-1.1178214301655196,1.3679410738082967,-0.4398658829749646,-1.1557246904277823,1.1178214301655183,-0.28998862651772866
